Title,Description,Priority,Status,Labels
BE-101 Initialize Golang Backend,"Description: Create Golang backend project using Gin framework with clean architecture folder structure. Target: API server runs and GET /health returns 200 OK. Dependency: None.",1,Backlog,"backend,sprint1"
BE-102 Setup PostgreSQL Connection,"Description: Implement PostgreSQL connection using pgx or GORM with environment configuration and connection pooling. Target: backend successfully connects and logs 'database connected'. Dependency: BE-101.",1,Backlog,"backend,sprint1"
BE-103 Create Initial Database Schema,"Description: Create migration files for users, resumes, job_descriptions, and practice_sessions tables using golang-migrate. Target: tables created successfully in PostgreSQL. Dependency: BE-102.",1,Backlog,"backend,sprint1"
BE-104 Implement Auth Middleware,"Description: Implement JWT verification middleware for Clerk/Supabase authentication. Extract user ID and attach to request context. Target: protected endpoint GET /api/me returns authenticated user. Dependency: BE-101.",1,Backlog,"backend,sprint1"
BE-105 Setup Redis Cache,"Description: Configure Redis client for caching session data and AI responses. Target: ability to SET and GET cache values successfully. Dependency: BE-101.",2,Backlog,"backend,sprint1"
FE-101 Initialize Next.js Project,"Description: Create Next.js project with App Router, TypeScript, TailwindCSS, and shadcn/ui. Target: local development server runs using npm run dev. Dependency: None.",1,Backlog,"frontend,sprint1"
FE-102 Integrate Authentication,"Description: Integrate Clerk or Supabase Auth in frontend with login and signup pages. Target: user authentication works and protected routes are enforced. Dependency: FE-101.",1,Backlog,"frontend,sprint1"
FE-103 Create Base Layout Navigation,"Description: Implement main SaaS dashboard layout with sidebar and navigation routes for dashboard, practice, and history pages. Target: user can navigate between pages. Dependency: FE-101.",2,Backlog,"frontend,sprint1"
BE-201 Create AI Service Module,"Description: Implement AI abstraction layer supporting Claude/GPT providers with functions ParseJobDescription, GenerateQuestions, AnalyzeAnswer. Target: API returns structured JSON responses. Dependency: BE-101.",1,Backlog,"backend,sprint2"
BE-202 Implement JD Parser Logic,"Description: Create prompt template and processing logic to extract skills, keywords, themes, and seniority from job descriptions. Target: structured job analysis JSON returned. Dependency: BE-201.",1,Backlog,"backend,sprint2"
BE-203 Create Job Parse Endpoint,"Description: Implement POST /job/parse endpoint that receives job description, calls AI parser, and stores parsed output. Target: parsed job description saved to database. Dependency: BE-202.",1,Backlog,"backend,sprint2"
FE-201 Build Job Description Input Page,"Description: Create UI where users paste job descriptions and submit to parser API. Target: API call works and loading state shown. Dependency: FE-101.",2,Backlog,"frontend,sprint2"
FE-202 Display Parsed Job Insights,"Description: Display parsed skills, keywords, and seniority from AI response in structured UI cards. Target: parsed results rendered clearly. Dependency: FE-201.",2,Backlog,"frontend,sprint2"
BE-301 Resume Storage API,"Description: Implement POST /resume endpoint to save resume text for each user. Target: resume stored successfully in database. Dependency: BE-102.",1,Backlog,"backend,sprint3"
BE-302 Implement Question Generation Logic,"Description: Implement AI prompt that generates 5 behavioral and 5 technical questions based on resume and job description. Target: AI returns structured question list. Dependency: BE-201.",1,Backlog,"backend,sprint3"
BE-303 Create Question Generation Endpoint,"Description: Implement POST /questions/generate endpoint that saves generated questions in database. Target: questions stored and returned via API. Dependency: BE-302.",1,Backlog,"backend,sprint3"
FE-301 Resume Input UI,"Description: Create UI form for users to paste resume text. Target: resume saved through backend API. Dependency: FE-101.",2,Backlog,"frontend,sprint3"
